song,bpm,energy,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,spectral_centroids
COREMIX #9 - JAËSS (live).mp3,154,0.04089395198436695,0.25771418,0.23479886,0.28273916,0.26347956,0.2612208,0.25125545,0.23736806,0.3185802,0.25755942,0.26141208,0.26017502,0.25212544,-58.021515,80.03659,-12.392714,16.780668,-2.5970008,9.970672,-0.7967185,8.271904,-1.3431334,5.2273936,-0.95738703,3.9265852,-1.041679,2.5951338,-1.2549436,2.8644426,-1.8188447,1.8771607,-2.2982316,0.959642,2555.1382327734764
Damso - Morose (RETSA flip).mp3,155,0.12312596588728547,0.2403237,0.18231085,0.20731243,0.19827376,0.2727761,0.2027133,0.24038948,0.3542284,0.33455932,0.38719273,0.28008947,0.29693282,-36.116833,71.364365,6.141608,11.499074,-4.8275375,4.9675226,-3.4859881,2.1696217,-8.5314245,0.2976682,-6.0085306,-0.7686016,-2.739009,1.7183954,-0.23204406,2.7846367,-3.7083454,0.62338185,-2.1084273,-0.03260137,2817.310231685342
DJ Traytex X 1luu - No Signs.mp3,155,0.0897975892206681,0.26001543,0.2907936,0.26954558,0.30650264,0.18375872,0.2710541,0.26837674,0.19194484,0.19436273,0.24691167,0.35749307,0.18233167,-55.751186,83.53053,11.514776,21.81104,8.90262,12.0348,2.578398,7.0426755,-2.5609214,7.078839,2.6013975,4.3459506,-1.4003437,1.3012371,-4.287421,-0.03973948,-5.4767566,-0.15652138,-2.3907998,0.88507885,2390.7384900856314
Faithless - Insomnia [ Techno Remix by brxndy ].mp3,165,0.07397188489491187,0.19370088,0.2652291,0.20955633,0.25278893,0.26101646,0.25376505,0.23448268,0.25214309,0.31179023,0.3217655,0.3253644,0.22519305,-109.547516,117.49458,6.6951385,2.896501,0.9964692,2.013176,-1.014679,5.9053235,-0.3102929,6.938946,0.16842362,6.8075347,0.60965383,4.609237,0.9754915,4.517723,-2.9445598,4.0690665,-0.142806,0.04825698,1909.9030615876916
Fly Away On The Wings Of The Wind (PEACE🕊 EDIT).mp3,159,0.14427364801027928,0.035206206,0.24145721,0.24338116,0.39603058,0.3639767,0.27740225,0.32599393,0.29818,0.27587274,0.24398999,0.31706032,0.21063109,-84.8237,88.45865,26.22838,32.662674,13.319366,12.399846,8.7560835,6.5161905,4.3300047,6.3975534,4.006847,3.0721648,-0.25956687,1.7157747,0.36629355,3.1571643,1.8563341,4.1893616,-1.8949392,3.3963702,2138.885354057379
Folcoch - Not So Bad.mp3,150,0.11882643768032788,0.18816745,0.20529911,0.2527743,0.22708455,0.21141833,0.26194534,0.29836807,0.3660785,0.29848406,0.29315934,0.32158056,0.19339748,3.8890033,60.003784,12.816575,20.764849,9.947361,11.467019,1.8587427,5.523666,1.0643622,7.876677,2.8538306,5.602436,-0.9133664,5.4510164,-0.027824368,2.4288013,-1.0363922,2.0744405,-1.5391929,2.35711,3160.9034172073925
Freeze Corleone - Freeze Raël (ØKKY Techno edit).mp3,160,0.18861761680460387,0.21672718,0.28181696,0.4323599,0.34960246,0.31221855,0.32703272,0.24389239,0.1978544,0.20049751,0.2273115,0.14315817,0.12898679,-24.675169,84.11022,18.512259,19.271729,4.706667,10.4333725,-3.2419457,11.045347,-5.2562757,4.909665,-3.7359166,1.4108697,2.595947,3.0851424,1.0690202,2.7383134,-3.2000773,0.1837037,-2.873621,0.8972601,2547.774307736366
Freeze Corleone - Jour De Plus (ØKKY Techno edit).mp3,150,0.14093819673843438,0.08342303,0.17524496,0.22556947,0.46942145,0.37788478,0.33818647,0.2692109,0.24295232,0.29286405,0.2001245,0.25378162,0.07031812,-35.916805,99.354485,11.520923,18.880304,11.571606,10.085543,1.1901399,8.596924,-1.3288171,7.235657,-0.012204713,4.126792,-1.0337683,1.5905325,-0.46268767,4.4156184,-1.0472926,2.185424,0.9113283,5.0612354,2318.581117615832
Gazo - Tchin 2x (Just Pedro Techno Edit).mp3,146,0.12775171735508928,0.23798123,0.27577844,0.21240763,0.24929218,0.46939677,0.3833747,0.23568939,0.23190825,0.186384,0.17450558,0.14960793,0.2231457,-24.034906,67.99377,5.688622,12.444876,0.61326444,12.446656,6.1589546,12.905718,1.3127569,8.507179,2.8643174,3.5460565,-0.5162258,3.2016842,-3.503622,1.0676492,-0.10764645,5.872712,2.0703838,6.5089564,2814.436970624256
Jaëss - Kick Dans Ton Cor.mp3,155,0.14164471700597073,0.061793476,0.16861272,0.24094729,0.26062527,0.5431797,0.26344085,0.44347122,0.3108441,0.051280998,0.22784433,0.2314793,0.16893181,10.949628,58.788166,-1.819879,19.875492,3.1216104,14.562718,5.8624163,9.61674,5.0762615,8.50358,3.31032,10.157489,1.7954789,7.304329,-1.8093742,5.23798,-1.3537377,5.5873275,0.2965873,4.715716,3048.616387407944
